region,x,y,intercept,LnP,LnPXLnP,MinT,MinTXMinT,MinTXLnP,obs,prob
1,-108.4260221,32.41469647,1,0.342667252,0.020190521,4.050000191,29.33897407,0.769655239,0,0
1,-108.2492335,32.41469647,1,0.143320858,0.00327791,4.809999943,38.14972142,-0.35362603,0,0
1,-108.0724448,32.41469647,1,0.046883617,0.023620702,5.130000114,42.20511314,-0.998456014,0,0
1,-107.8956562,32.41469647,1,0.004788474,0.038331932,5.389999866,45.65091384,-1.322833215,0,0
1,-107.7188676,32.41469647,1,0.02156578,0.032043906,5.320000172,44.70990148,-1.196946063,0,0
1,-107.542079,32.41469647,1,-0.165228516,0.133811405,5.599999905,48.53276369,-2.54837935,0,0
1,-107.3652904,32.41469647,1,-0.091238491,0.08515447,5.650000095,49.23192097,-2.047515112,0,0
1,-107.1885017,32.41469647,1,0.000200023,0.040149689,6.699999809,65.06916343,-1.616325062,0,0
1,-107.0117131,32.41469647,1,-0.064431839,0.07022804,6.460000038,61.25482496,-2.074079626,0,0
1,-106.8349245,32.41469647,1,-0.150357872,0.123153107,6.369999886,59.85414429,-2.714999782,0,0
1,-106.6581359,32.41469647,1,-0.13972196,0.11580127,5.900000095,52.80269408,-2.472775575,0,0
1,-106.4813473,32.41469647,1,-0.14838402,0.121771628,7.019999981,70.33415572,-2.92655166,0,0
1,-106.3045586,32.41469647,1,-0.226900637,0.182734477,6.380000114,60.00897876,-3.311451248,0,0
